"timeMillisSpent","score"
12860,"0hard/9168soft"
12887,"0hard/10238soft"
12920,"0hard/8976soft"
12951,"0hard/10106soft"
12983,"0hard/8121soft"
13019,"0hard/9867soft"
13048,"0hard/8697soft"
13079,"0hard/10238soft"
13113,"0hard/9168soft"
13145,"0hard/7848soft"
13178,"0hard/8953soft"
13209,"0hard/9867soft"
13237,"0hard/8697soft"
13272,"0hard/10238soft"
13305,"0hard/9168soft"
13340,"0hard/8031soft"
13371,"0hard/10192soft"
13407,"0hard/8135soft"
13440,"0hard/9786soft"
13471,"0hard/11070soft"
13502,"0hard/10192soft"
13532,"0hard/8135soft"
13569,"0hard/9786soft"
13596,"0hard/11070soft"
13630,"0hard/10192soft"
13667,"0hard/8135soft"
13698,"0hard/9786soft"
13729,"0hard/11070soft"
13757,"0hard/10192soft"
13788,"0hard/8135soft"
13818,"0hard/9786soft"
13852,"0hard/11070soft"
13886,"0hard/10192soft"
13926,"0hard/8031soft"
13957,"0hard/9168soft"
13985,"0hard/10238soft"
14016,"0hard/8976soft"
14043,"0hard/10106soft"
14070,"0hard/8121soft"
14101,"0hard/7166soft"
14140,"0hard/8976soft"
14169,"0hard/10238soft"
14200,"0hard/8822soft"
14229,"0hard/11070soft"
14257,"0hard/10192soft"
14287,"0hard/8135soft"
14324,"0hard/9786soft"
14359,"0hard/11070soft"
14392,"0hard/10192soft"
14427,"0hard/8031soft"
14457,"0hard/9168soft"
14487,"0hard/7848soft"
14518,"0hard/8953soft"
14550,"0hard/9867soft"
14577,"0hard/8697soft"
14608,"0hard/10238soft"
14636,"0hard/9168soft"
14663,"0hard/8031soft"
14694,"0hard/10192soft"
14728,"0hard/11070soft"
14761,"0hard/9786soft"
14788,"0hard/8135soft"
14824,"0hard/10192soft"
14859,"0hard/11070soft"
14889,"0hard/9786soft"
14919,"0hard/8135soft"
14952,"0hard/10192soft"
14986,"0hard/11070soft"
15018,"0hard/9557soft"
15053,"0hard/7836soft"
15088,"0hard/10192soft"
15119,"0hard/11070soft"
15149,"0hard/9786soft"
15178,"0hard/8135soft"
15214,"0hard/10192soft"
15248,"0hard/11070soft"
15280,"0hard/9786soft"
15309,"0hard/8135soft"
15344,"0hard/10192soft"
15376,"0hard/11070soft"
15410,"0hard/9786soft"
15439,"0hard/8135soft"
15468,"0hard/10192soft"
15500,"0hard/11070soft"
15530,"0hard/9786soft"
15566,"0hard/8135soft"
15596,"0hard/10192soft"
15626,"0hard/11070soft"
15654,"0hard/9557soft"
15685,"0hard/7836soft"
15714,"0hard/10192soft"
15746,"0hard/11070soft"
15773,"0hard/9786soft"
15802,"0hard/8135soft"
15837,"0hard/10192soft"
15869,"0hard/11070soft"
15900,"0hard/9786soft"
15927,"0hard/8135soft"
15959,"0hard/10192soft"
15992,"0hard/11070soft"
16022,"0hard/9786soft"
16054,"0hard/7674soft"
16088,"0hard/9557soft"
16120,"0hard/11070soft"
16150,"0hard/10192soft"
16182,"0hard/8031soft"
16211,"0hard/9168soft"
16245,"0hard/10238soft"
16280,"0hard/8976soft"
16309,"0hard/10106soft"
16336,"0hard/8121soft"
16368,"0hard/9867soft"
16403,"0hard/8953soft"
16444,"0hard/7848soft"
16475,"0hard/9168soft"
16505,"0hard/10238soft"
16535,"0hard/8976soft"
16566,"0hard/9632soft"
16596,"0hard/7832soft"
16627,"0hard/9479soft"
16654,"0hard/8276soft"
16687,"0hard/10238soft"
16715,"0hard/9168soft"
16747,"0hard/8031soft"
16777,"0hard/10192soft"
16809,"0hard/11070soft"
16837,"0hard/9786soft"
16872,"0hard/8135soft"
16902,"0hard/10192soft"
16938,"0hard/11070soft"
16970,"0hard/9786soft"
16997,"0hard/8135soft"
17031,"0hard/10192soft"
17058,"0hard/11070soft"
17092,"0hard/9786soft"
17124,"0hard/8135soft"
17156,"0hard/10192soft"
17194,"0hard/11070soft"
17228,"0hard/9786soft"
17272,"0hard/8135soft"
17306,"0hard/10192soft"
17338,"0hard/11070soft"
17371,"0hard/9786soft"
17405,"0hard/8135soft"
17438,"0hard/10192soft"
17466,"0hard/8031soft"
17499,"0hard/9072soft"
17528,"0hard/10298soft"
17555,"0hard/8822soft"
17582,"0hard/11070soft"
17613,"0hard/10192soft"
17642,"0hard/8135soft"
17676,"0hard/9786soft"
17707,"0hard/7674soft"
17741,"0hard/9557soft"
17773,"0hard/11070soft"
17806,"0hard/10192soft"
17848,"0hard/8135soft"
17884,"0hard/9786soft"
17914,"0hard/11070soft"
17950,"0hard/10192soft"
17980,"0hard/8135soft"
18017,"0hard/9786soft"
18052,"0hard/11070soft"
18085,"0hard/10192soft"
18117,"0hard/8135soft"
18150,"0hard/9786soft"
18180,"0hard/11070soft"
18210,"0hard/9557soft"
18240,"0hard/7836soft"
18269,"0hard/10192soft"
18302,"0hard/11070soft"
18328,"0hard/9786soft"
18361,"0hard/8135soft"
18392,"0hard/10192soft"
18422,"0hard/11070soft"
18455,"0hard/9786soft"
18484,"0hard/8135soft"
18522,"0hard/10192soft"
18551,"0hard/11070soft"
18578,"0hard/9786soft"
18610,"0hard/8135soft"
18640,"0hard/10192soft"
18670,"0hard/11070soft"
18700,"0hard/9786soft"
18727,"0hard/8135soft"
18759,"0hard/10192soft"
18796,"0hard/11070soft"
18829,"0hard/9557soft"
18860,"0hard/7836soft"
18895,"0hard/10192soft"
18927,"0hard/11070soft"
18955,"0hard/9786soft"
18990,"0hard/8135soft"
19021,"0hard/10192soft"
19049,"0hard/11070soft"
19078,"0hard/9557soft"
19107,"0hard/7836soft"
19137,"0hard/10192soft"
19171,"0hard/11070soft"
19200,"0hard/9786soft"
19229,"0hard/8135soft"
19260,"0hard/10192soft"
19292,"0hard/11070soft"
19322,"0hard/9786soft"
19349,"0hard/7674soft"
19377,"0hard/9557soft"
19404,"0hard/11070soft"
19431,"0hard/10192soft"
19475,"0hard/8135soft"
19504,"0hard/9786soft"
19535,"0hard/11070soft"
19570,"0hard/10192soft"
19605,"0hard/8135soft"
19636,"0hard/9786soft"
19671,"0hard/11070soft"
19702,"0hard/10192soft"
19733,"0hard/8135soft"
19765,"0hard/9786soft"
19796,"0hard/11070soft"
19830,"0hard/10192soft"
19861,"0hard/8135soft"
19890,"0hard/9786soft"
19920,"0hard/11070soft"
19950,"0hard/9557soft"
19979,"0hard/7674soft"
20009,"0hard/9786soft"
20044,"0hard/11070soft"
20073,"0hard/10192soft"
20106,"0hard/8135soft"
20138,"0hard/9786soft"
20168,"0hard/11070soft"
20195,"0hard/10192soft"
20227,"0hard/8031soft"
20256,"0hard/9168soft"
20283,"0hard/10238soft"
20315,"0hard/8976soft"
20345,"0hard/10106soft"
20376,"0hard/8121soft"
20404,"0hard/9867soft"
20437,"0hard/8953soft"
20477,"0hard/7848soft"
20510,"0hard/9168soft"
20542,"0hard/10238soft"
20571,"0hard/8976soft"
20604,"0hard/10106soft"
20632,"0hard/8121soft"
20660,"0hard/9867soft"
20688,"0hard/8953soft"
20719,"0hard/7072soft"
20749,"0hard/5912soft"
20779,"0hard/7989soft"
20812,"0hard/9186soft"
20843,"0hard/9619soft"
20870,"0hard/9130soft"
20901,"0hard/7341soft"
20929,"0hard/9630soft"
20961,"0hard/8222soft"
20997,"0hard/6713soft"
21030,"0hard/8019soft"
21061,"0hard/9276soft"
21096,"0hard/7920soft"
21128,"0hard/9630soft"
21164,"0hard/8222soft"
21194,"0hard/6713soft"
21225,"0hard/8019soft"
21256,"0hard/9276soft"
21291,"0hard/7920soft"
21331,"0hard/9630soft"
21361,"0hard/8222soft"
21398,"0hard/6713soft"
21440,"0hard/8019soft"
21473,"0hard/9276soft"
21502,"0hard/7920soft"
21533,"0hard/9630soft"
21562,"0hard/8222soft"
21593,"0hard/6713soft"
21624,"0hard/8019soft"
21653,"0hard/9276soft"
21692,"0hard/7920soft"
21721,"0hard/9630soft"
21753,"0hard/8222soft"
21787,"0hard/6713soft"
21822,"0hard/8019soft"
21856,"0hard/9276soft"
21889,"0hard/7920soft"
21919,"0hard/9630soft"
21953,"0hard/8222soft"
21983,"0hard/6713soft"
22023,"0hard/8019soft"
22055,"0hard/9276soft"
22089,"0hard/7920soft"
22122,"0hard/9630soft"
22154,"0hard/8222soft"
22189,"0hard/6713soft"
22226,"0hard/8019soft"
22257,"0hard/9276soft"
22287,"0hard/7920soft"
22321,"0hard/9630soft"
22357,"0hard/8222soft"
22391,"0hard/6713soft"
22428,"0hard/8019soft"
22462,"0hard/9276soft"
22494,"0hard/7920soft"
22527,"0hard/9630soft"
22555,"0hard/7608soft"
22584,"0hard/9786soft"
22613,"0hard/11070soft"
22647,"0hard/10192soft"
22676,"0hard/8135soft"
22707,"0hard/9786soft"
22736,"0hard/11070soft"
22771,"0hard/10192soft"
22800,"0hard/8135soft"
22833,"0hard/9786soft"
22863,"0hard/11070soft"
22892,"0hard/10192soft"
22925,"0hard/8031soft"
22956,"0hard/9168soft"
22982,"0hard/10238soft"
23011,"0hard/8822soft"
23040,"0hard/11070soft"
23067,"0hard/10192soft"
23099,"0hard/8135soft"
23128,"0hard/9786soft"
23160,"0hard/11070soft"
23192,"0hard/10192soft"
23228,"0hard/8135soft"
23255,"0hard/9786soft"
23288,"0hard/11070soft"
23317,"0hard/10192soft"
23347,"0hard/8135soft"
23376,"0hard/6339soft"
23412,"0hard/7780soft"
23446,"0hard/10192soft"
23478,"0hard/11070soft"
23506,"0hard/9786soft"
23533,"0hard/8135soft"
23562,"0hard/10192soft"
23594,"0hard/11070soft"
23626,"0hard/9786soft"
23654,"0hard/8135soft"
23685,"0hard/6364soft"
23716,"0hard/7674soft"
23747,"0hard/9786soft"
23777,"0hard/8135soft"
23808,"0hard/10192soft"
23836,"0hard/11070soft"
23862,"0hard/9786soft"
23893,"0hard/8135soft"
23921,"0hard/10192soft"
23950,"0hard/7950soft"
23986,"0hard/9210soft"
24018,"0hard/11070soft"
24047,"0hard/10192soft"
24077,"0hard/8135soft"
24105,"0hard/9786soft"
24138,"0hard/11070soft"
24171,"0hard/10192soft"
24199,"0hard/8135soft"
24230,"0hard/9786soft"
24261,"0hard/11070soft"
24291,"0hard/10192soft"
24324,"0hard/8135soft"
24358,"0hard/9786soft"
24389,"0hard/11070soft"
24418,"0hard/10192soft"
24451,"0hard/8031soft"
24484,"0hard/9072soft"
24517,"0hard/10298soft"
24545,"0hard/8822soft"
24572,"0hard/10238soft"
24606,"0hard/9168soft"
24637,"0hard/8031soft"
24668,"0hard/10192soft"
24701,"0hard/11070soft"
24731,"0hard/9786soft"
24761,"0hard/8135soft"
24791,"0hard/10192soft"
24825,"0hard/11070soft"
24859,"0hard/9786soft"
24887,"0hard/8135soft"
24925,"0hard/10192soft"
24964,"0hard/11070soft"
24998,"0hard/9786soft"
25029,"0hard/8135soft"
25062,"0hard/10192soft"
25092,"0hard/11070soft"
25128,"0hard/9557soft"
25165,"0hard/7836soft"
25198,"0hard/10192soft"
25228,"0hard/11070soft"
25259,"0hard/9786soft"
25289,"0hard/8135soft"
25325,"0hard/6364soft"
25359,"0hard/7836soft"
25390,"0hard/10192soft"
